card=10.07E10   prob=9.932E-11   info=33.23 bit


1.006834752E10   9.932116447247939E-11   33.229107867537984
2.2882608E8      4.3701312367890935E-9   27.769676248900687
5085024          1.966559056555092E-7    22.277823152571017
110544           9.046171660153422E-6    16.754261196514
2352             4.2517006802721087E-4   11.199672344836365
49               0.02040816326530612       5.614709844115208



1.007E10   9.932E-11   33.23
2.288E8    4.370E-9    27.77
5085024    1.967E-7    22.28
110544     9.046E-6    16.75
2352       4.252E-4    11.20
49         0.020        5.62
